param_model__n_neighbors,param_model__p,param_model__weights,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
7,1,distance,1,0.7954545454545454,0.0867684638994354,-0.5371719858156028,0.20786763269402916,0.9097378621378621,0.04328322765215189,1.0,0.0,1.0,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.5371719858156028,0.20786763269402916,-0.0
3,1,uniform,2,0.7953679653679653,0.08792698015368235,-0.5508421985815602,0.20916435377622117,0.8768100899100898,0.050319936399403034,0.8958620689655171,-0.28743859649122805,0.9681148816340407,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.5508421985815602,0.20916435377622117,0.28743859649122805
5,1,uniform,3,0.7944155844155845,0.0891412211375723,-0.543936170212766,0.21343890401870225,0.8921886113886114,0.04985988116898409,0.8518077324973876,-0.3874346978557505,0.9554163565985381,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.543936170212766,0.21343890401870225,0.3874346978557505
5,1,distance,4,0.7925974025974025,0.08863649842211024,-0.5498315602836878,0.21105681898275105,0.8953119547119546,0.049244109551926166,1.0,0.0,1.0,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.5498315602836878,0.21105681898275105,-0.0
7,1,uniform,5,0.7907792207792208,0.08766699789868168,-0.5451950354609929,0.20892354452615283,0.9080913752913752,0.04292160347043986,0.8348432601880879,-0.43249456975772765,0.9502622931445255,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.5451950354609929,0.20892354452615283,0.43249456975772765
9,1,distance,6,0.7889177489177487,0.09175471476314088,-0.5508333333333334,0.21512964605544502,0.9146269730269729,0.0387445411098564,1.0,0.0,1.0,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}",0.5508333333333334,0.21512964605544502,-0.0
3,1,distance,7,0.7853679653679653,0.09014039053503978,-0.5740248226950354,0.21359370972918057,0.8789237096237095,0.05066321433531684,1.0,0.0,1.0,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.5740248226950354,0.21359370972918057,-0.0
5,2,uniform,8,0.7833766233766235,0.07818838571984724,-0.5780141843971631,0.18161120410859502,0.8768964701964704,0.046752319930477314,0.8547988505747126,-0.3849106098579783,0.9471696020197244,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.5780141843971631,0.18161120410859502,0.3849106098579783
5,2,distance,8,0.7833766233766235,0.07818838571984724,-0.5788563829787234,0.1818134733890878,0.8804500499500498,0.04633286226903718,1.0,0.0,1.0,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.5788563829787234,0.1818134733890878,-0.0
9,1,uniform,10,0.7825541125541124,0.09153076449647639,-0.5602925531914893,0.21659144935437527,0.913666033966034,0.03885425808086675,0.8197126436781609,-0.4661587301587302,0.9490860071798549,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'uniform'}",0.5602925531914893,0.21659144935437527,0.4661587301587302
7,2,distance,11,0.7796103896103896,0.08651587445693698,-0.5749202127659576,0.20528889711019807,0.8934072594072595,0.04138064902253161,1.0,0.0,1.0,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.5749202127659576,0.20528889711019807,-0.0
7,2,uniform,12,0.7787012987012987,0.0863444412263303,-0.5765780141843972,0.2054702840715338,0.8910557775557776,0.04242214820592709,0.8236285266457679,-0.46010414926204396,0.9405793164218644,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.5765780141843972,0.2054702840715338,0.46010414926204396
11,1,distance,13,0.776969696969697,0.08182958760601033,-0.5729166666666667,0.19250935515310083,0.918729836829837,0.038994299853286736,1.0,0.0,1.0,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.5729166666666667,0.19250935515310083,-0.0
11,1,uniform,14,0.7714285714285714,0.08273043277211942,-0.5816932624113476,0.19669235458737613,0.9152976356976356,0.03817133529817372,0.8045715778474399,-0.49282539682539683,0.9456515601822594,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.5816932624113476,0.19669235458737613,0.49282539682539683
3,2,distance,15,0.7697835497835497,0.08188087110265134,-0.6262943262411347,0.1863588169945173,0.8577156843156842,0.051894070433248604,1.0,0.0,1.0,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.6262943262411347,0.1863588169945173,-0.0
3,2,uniform,15,0.7697835497835497,0.08188087110265134,-0.6262943262411347,0.1863588169945173,0.8553786879786881,0.049881657528263144,0.8935606060606059,-0.29832470064049016,0.9615554801396266,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.6262943262411347,0.1863588169945173,0.29832470064049016
15,1,distance,17,0.7687012987012986,0.08364282776414471,-0.5927836879432624,0.19985396952991538,0.9193731268731269,0.03829092166301072,1.0,0.0,1.0,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",0.5927836879432624,0.19985396952991538,-0.0
15,1,uniform,18,0.7641125541125541,0.08174083015256725,-0.5994414893617022,0.19715629632081166,0.9153542790542792,0.038203290761714255,0.7864498432601882,-0.539243664717349,0.9382754351347422,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'uniform'}",0.5994414893617022,0.19715629632081166,0.539243664717349
9,2,distance,19,0.7606060606060605,0.08032607223591423,-0.6187056737588652,0.19538335349048047,0.8964251415251414,0.044711656111081806,1.0,0.0,1.0,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}",0.6187056737588652,0.19538335349048047,-0.0
9,2,uniform,20,0.7569264069264068,0.07931918520876581,-0.6262765957446809,0.19291924197536617,0.8936613053613054,0.04595752563052721,0.8112068965517242,-0.48691785018100814,0.9364484326615571,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'uniform'}",0.6262765957446809,0.19291924197536617,0.48691785018100814
11,2,distance,21,0.7449350649350649,0.08738517458623883,-0.6545567375886524,0.2120653254386671,0.9006113553113554,0.043319585339505084,1.0,0.0,1.0,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.6545567375886524,0.2120653254386671,-0.0
11,2,uniform,22,0.743982683982684,0.08797154595341869,-0.6554343971631205,0.21310287689438154,0.8984959373959375,0.04402282894526252,0.7894070010449322,-0.5381030353661932,0.9347946047300233,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'uniform'}",0.6554343971631205,0.21310287689438154,0.5381030353661932
15,2,distance,23,0.7303030303030303,0.08315069658523477,-0.6811170212765958,0.20785178993974984,0.9025998001998002,0.04597954356790194,1.0,0.0,1.0,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}",0.6811170212765958,0.20785178993974984,-0.0
15,2,uniform,24,0.7229004329004328,0.08652323891293691,-0.6963563829787235,0.21411904433221762,0.8990777555777556,0.04675867849408946,0.7596003134796239,-0.6005341130604289,0.9292588337340597,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'uniform'}",0.6963563829787235,0.21411904433221762,0.6005341130604289
